Name,Siblings,# Transits,Rp/Rs,Semimajor axis [AU],Inclincation [Deg],Eccentricity,Arg. of Periastron,Rel. Depth,Chi-sqaure,Depth Recovery RMS [Days],TTV recovery RMS,Failed fitting,Failed injection
Kepler-103 c,b,8,0.0342308510344827,95.28143354883744,89.6,0.0,0.0,0.0012433932460039,7.30939403521709e-08,0.0002080727859173,0.562983070151319,False,False
Kepler-435 b,None,165,0.0616768035634743,8.237307125069997,89.47368421052632,0.0,104.0,0.0046490760545839,1.0639294559111873e-07,0.0006632486441762,0.267350244547637,False,False
Kepler-494 b,None,182,0.0543437197368421,20.371455380910565,89.47368421052632,0.0,0.0,0.0035827525650848,9.370003397859838e-07,0.0007164844111726,0.2301255318848348,False,False
Kepler-130 c,"d, b",52,0.0224995215517241,32.430908169978814,89.47368421052632,0.0,0.0,0.0006056238768534,2.4909385010987035e-08,8.592637703800019e-05,0.2446114797596986,False,False
Kepler-550 b,None,165,0.0480919705521472,19.70907063539629,89.47368421052632,0.0,0.0,0.0028077077582355,6.027126827673305e-06,0.0005113747122056,0.1627591051397001,False,False
Kepler-422 b,None,180,0.0912077379032258,14.046447056998815,88.42105263157895,0.0,0.0,0.0097699106241891,2.185065005434828e-07,0.0026784268468126,0.1593475524142636,False,False
Kepler-20 d,"e, f, g, b, c",19,0.0257991118279569,78.8681990311489,89.47368421052632,0.0,0.0,0.0006803520549628,9.74698140559149e-08,0.0001574912515604,0.3997737043781906,False,False
Kepler-75 b,None,160,0.1146793795454545,19.206269864805453,90.0,0.0,63.5,0.0160771513193676,2.4862253479078e-05,0.0038054641504728,0.0764266772099122,False,False
Kepler-51 b,"d, c",32,0.0819808994680851,57.82989035791351,89.47368421052632,0.0,53.3,0.0075708908415177,2.227193873071893e-05,0.0021911106396464,0.2285289708973097,False,False
Kepler-1442 b,None,18,0.0262902304166666,56.41604205835348,89.47368421052632,0.0,0.0,0.0007831768431294,1.80069732512706e-07,0.0005329467942772,0.9180503618436378,False,False
Kepler-397 c,b,11,0.0595002994594594,136.8504514423099,90.0,0.0,0.0,0.004333122712481,8.482064138185738e-07,0.0005427296359778,0.2629893488572255,False,False
Kepler-673 b,None,381,0.0637986433333333,12.105506818944384,89.47368421052632,0.0,0.0,0.0049659405880546,4.204133679028553e-07,0.0007521453216977,0.1303090036451481,False,False
Kepler-257 d,"b, c",57,0.0425235808695652,36.97615977291122,89.47368421052632,0.0,0.0,0.0021469932945727,4.559315683765437e-05,0.0003945844662987,0.1860739441020185,False,False
Kepler-434 b,None,111,0.1956491728888888,17.314060410779664,86.3157894736842,0.0,82.0,0.0038029281472543,9.547140027279125e-08,,,False,True
Kepler-448 b,c,81,0.0893181006666666,20.97279056382115,89.47368421052632,0.0,228.0,0.0096665058417027,3.712872908840594e-07,0.0024213937765445,0.3140935203044532,False,False
Kepler-942 b,None,33,0.0278745334246575,66.12971303445511,89.47368421052632,0.0,0.0,0.0008493901989939,1.5939247915107025e-07,0.0001713142214383,0.303391962184191,False,False
Kepler-419 b,c,21,0.3179638135491329,45.11943730319209,88.42105263157895,0.0,96.5,0.0039848267763973,5.208513927023465e-07,,,False,True
Kepler-248 c,b,88,0.0461195012048192,31.840284779092546,89.47368421052632,0.0,0.0,0.0025462695617866,,0.0006319152850584,0.2390852986525458,False,False
Kepler-858 b,None,19,0.0497068265319148,76.74813376218346,90.0,0.0,0.0,0.0030244958239733,2.478922183588881e-07,0.00038200494283,0.2213041092860549,False,False
Kepler-718 b,None,693,0.1103874108108108,6.412216360888215,84.21052631578948,0.0,0.0,0.0130177442303729,1.7651859068901314e-06,0.0017057369322591,0.0696597769604615,False,False
